data,group,cellline
201221_01,ctrl,AD3
201221_05,ctrl,AD3
201221_06,ngf,AD3
201221_07,ngf,AD3
201221_09,gdnf,AD3
201221_10,gdnf,AD3
201221_11,gdnf,AD3
201221_12,gdnf,AD3
201221_14,ngf,AD3
201221_15,ngf,AD3
201221_16,ngf,AD3
201221_17,ngf,AD3
201221_18,gdnf,AD3
201221_19,gdnf,AD3
201221_20,gdnf,AD3
201221_21,gdnf,AD3
201221_22,gdnf,AD2
201228_01,ctrl,AD3
201228_03,ctrl,AD3
201228_06,ngf,AD3
201228_07,ngf,AD3
201228_08,ngf,AD3
201228_09,ngf,AD3
201228_11,ctrl,AD3
201228_12,ctrl,AD3
201228_13,ctrl,AD3
201228_14,ctrl,AD3
201228_15,ctrl,AD3
201228_16,ctrl,AD3
201228_17,ngf,AD3
201228_19,ngf,AD3
201221_22,ngf,AD3
201228_23,ngf,AD3
201228_25,ctrl,AD3
